#SOD  ENT-GPS
16700   -1.86460
16750   -1.86326
16800   -1.86205
16850   -1.85939
16900   -1.85778
16950   -1.85705
17000   -1.85626
17050   -1.85592
17100   -1.85473
17150   -1.85473
17200   -1.85473
17250   -1.85473
17300   -1.85473
17350   -1.85473
17400   -1.85473
17450   -1.85381
17500   -1.85174
17550   -1.84966
17600   -1.84866
17650   -1.84829
17700   -1.84795
17750   -1.84764
17800   -1.84677
17850   -1.84563
17900   -1.84542
17950   -1.84527
18000   -1.84519
18050   -1.86076
18100   -1.85878
18150   -1.85793
18200   -1.85761
18250   -1.85759
18300   -1.85705
18350   -1.85759
18400   -1.85761
18450   -1.85763
18500   -1.85784
18550   -1.85792
18600   -1.85793
18650   -1.85804
18700   -1.85806
18750   -1.85868
18800   -1.85888
18850   -1.86955
18900   -1.86914
18950   -1.86901
19000   -1.86914
19050   -1.86914
19100   -1.86917
19150   -1.86925
19200   -1.86965
19250   -1.87083
19300   -1.87123
19350   -1.87185
19400   -1.87196
19450   -1.87185
19500   -1.87185
19550   -1.87185
19600   -1.86965
19650   -1.87083
19700   -1.85806
19750   -1.85806
19800   -1.85804
19850   -1.85806
19900   -1.85888
19950   -1.85891
20000   -1.85988
20050   -1.85988
20100   -1.85891
20150   -1.85988
20200   -1.85891
20250   -1.85804
20300   -1.86096
20350   -1.85988
20400   -1.85889
20450   -1.85888
20500   -1.85878
20550   -1.85889
20600   -1.85878
20650   -1.85805
20700   -1.85805
20750   -1.85878
20800   -1.85889
20850   -1.85939
20900   -1.85999
20950   -1.85761
21000   -1.85762
21050   -1.85763
21100   -1.85774
21150   -1.85792
21200   -1.85762
21250   -1.85761
21300   -1.85760
21350   -1.85763
21400   -1.85760
21450   -1.85740
21500   -1.85705
21550   -1.85704
21600   -1.85697
21650   -1.85592
21700   -1.85613
21750   -1.85704
21800   -1.85705
21850   -1.85751
21900   -1.85761
21950   -1.85763
22000   -1.85792
22050   -1.87730
22100   -1.85833
22150   -1.85864
22200   -1.85889
22250   -1.85999
22300   -1.86096
22350   -1.87974
22400   -1.88003
22450   -1.88067
22500   -1.88109
22550   -1.88268
22600   -1.88109
22650   -1.88235
22700   -1.92066
22750   -1.89603
22800   -1.89659
22850   -1.89808
22900   -1.89989
22950   -1.90016
23000   -1.90037
23050   -1.90087
23100   -1.90142
23150   -1.90218
23200   -1.90288
23250   -1.90326
23300   -1.90336
23350   -1.90347
23400   -1.90420
23450   -1.90484
23500   -1.90551
23550   -1.90586
23600   -1.90714
23650   -1.90813
23700   -1.90876
23750   -1.91010
23800   -1.91029
23850   -1.91114
23900   -1.91162
23950   -1.91177
24000   -1.91259
24050   -1.91321
24100   -1.91396
24150   -1.91442
24200   -1.91446
24250   -1.91468
24300   -1.91497
24350   -1.91549
24400   -1.94807
24450   -1.94812
24500   -1.94859
24550   -1.94901
24600   -1.94901
24650   -1.94901
24700   -1.94923
24750   -1.95002
24800   -1.95418
24850   -1.95428
24900   -1.95444
24950   -1.95461
25000   -1.95465
25050   -1.95148
25100   -1.95196
25150   -1.95261
25200   -1.95336
25250   -1.95459
25300   -1.95578
25350   -1.95628
25400   -1.95706
25450   -1.96282
25500   -1.96368
25550   -1.96514
25600   -1.96556
25650   -1.96649
25700   -1.96774
25750   -1.96813
25800   -1.96890
25850   -1.96969
25900   -1.97103
25950   -1.97156
26000   -1.97279
26050   -1.97475
26100   -1.97579
26150   -1.97601
26200   -1.97752
26250   -1.97898
26300   -1.97996
26350   -1.98113
26400   -1.98187
26450   -1.98229
26500   -1.98306
26550   -1.98365
26600   -1.98485
26650   -1.98525
26700   -1.98595
26750   -1.98642
26800   -1.98657
26850   -1.98709
26900   -1.98892
26950   -1.99007
27000   -1.99049
27050   -1.99189
27100   -1.99292
27150   -1.99507
27200   -1.99641
27250   -1.99766
27300   -1.99985
27350   -2.00296
27400   -2.00596
27450   -2.00673
27500   -2.00740
27550   -2.00815
27600   -2.00880
27650   -2.00981
27700   -2.01064
27750   -2.01123
27800   -2.01142
27850   -2.01154
27900   -2.01290
27950   -2.01334
28000   -2.01503
28050   -2.01633
28100   -2.01675
28150   -2.01775
28200   -2.01894
28250   -2.11613
28300   -2.09716
28350   -2.15042
28400   -2.15042
28450   -2.15042
28500   -2.15042
28550   -2.17049
28600   -2.14981
28650   -2.14981
28700   -2.14981
28750   -2.14981
28800   -2.17033
28850   -2.14923
28900   -2.14855
28950   -2.14821
29000   -2.16813
29050   -2.14652
29100   -2.16706
29150   -2.14393
29200   -2.08526
29250   -2.08507
29300   -2.08511
29350   -2.09838
29400   -2.08544
29450   -2.08578
29500   -2.08590
29550   -2.08690
29600   -2.08697
29650   -2.09968
29700   -2.10077
29750   -2.07437
29800   -2.07468
29850   -2.07502
29900   -2.05100
29950   -2.05163
30000   -2.05243
30050   -2.05363
30100   -2.05390
30150   -2.05396
30200   -2.05515
30250   -2.05542
30300   -2.05578
30350   -2.05620
30400   -2.05719
30450   -2.05733
30500   -2.05749
30550   -2.05766
30600   -2.05896
30650   -2.05916
30700   -2.06002
30750   -2.06040
30800   -2.06094
30850   -2.06153
30900   -2.06209
30950   -2.06226
31000   -2.06368
31050   -2.06389
31100   -2.06413
31150   -2.06416
31200   -2.06438
31250   -2.06414
31300   -2.06400
31350   -2.06389
31400   -2.05536
31450   -2.05495
31500   -2.05391
31550   -2.04950
31600   -2.04930
31650   -2.04902
31700   -2.04870
31750   -2.04883
31800   -2.04870
31850   -2.04902
31900   -2.04895
31950   -2.09968
32000   -2.09968
32050   -2.10077
32100   -2.07440
32150   -2.07517
32200   -2.07566
32250   -2.07667
32300   -2.10552
32350   -2.10564
32400   -2.10564
32450   -2.10564
32500   -2.10563
32550   -2.07796
32600   -2.07809
32650   -2.07858
32700   -2.07913
32750   -2.07932
32800   -2.07951
32850   -2.08000
32900   -2.08035
32950   -2.08140
33000   -2.08182
33050   -2.08218
33100   -2.08375
33150   -2.08375
33200   -2.08476
33250   -2.08482
33300   -2.08493
33350   -2.08507
33400   -2.08552
33450   -2.08590
33500   -2.08713
33550   -2.08799
33600   -2.08837
33650   -2.08893
33700   -2.08974
33750   -2.09063
33800   -2.09063
33850   -2.09063
33900   -2.09109
33950   -2.09137
34000   -2.09209
34050   -2.09263
34100   -2.09344
34150   -2.09394
34200   -2.09394
34250   -2.09394
34300   -2.09484
34350   -2.09484
34400   -2.09484
34450   -2.09344
34500   -2.09344
34550   -2.09344
34600   -2.09344
34650   -2.09344
34700   -2.05388
34750   -2.05227
34800   -2.05038
34850   -2.04984
34900   -2.04868
34950   -2.04866
35000   -2.02707
35050   -2.02609
35100   -2.02549
35150   -2.02479
35200   -2.02287
35250   -2.02100
35300   -2.02016
35350   -2.01966
35400   -2.03886
35450   -2.03706
35500   -2.01642
35550   -2.01612
35600   -2.01541
35650   -2.01467
35700   -2.01204
35750   -2.00802
35800   -2.00725
35850   -2.00596
35900   -2.00415
35950   -2.00173
36000   -2.00048
36050   -2.00026
36100   -1.99977
36150   -1.99926
36200   -1.99911
36250   -1.99890
36300   -1.99857
36350   -2.03827
36400   -2.03710
36450   -2.03632
36500   -2.03406
36550   -2.03289
36600   -2.03228
36650   -2.03181
36700   -2.03118
36750   -2.00783
36800   -2.00745
36850   -2.00660
36900   -2.00606
36950   -1.96258
37000   -1.95986
37050   -1.95889
37100   -1.95819
37150   -1.95685
37200   -1.95593
37250   -1.95481
37300   -1.95159
37350   -1.95046
37400   -1.94848
37450   -1.90761
37500   -1.90637
37550   -1.90503
37600   -1.90394
37650   -1.90385
37700   -1.90385
37750   -1.90385
37800   -1.90380
37850   -1.86856
37900   -1.87933
37950   -1.87933
38000   -1.86854
38050   -1.86844
38100   -1.86801
38150   -1.86747
38200   -1.86715
38250   -1.87605
38300   -1.87570
38350   -1.87570
38400   -1.87570
38450   -1.87567
38500   -1.87555
38550   -1.87555
38600   -1.87507
38650   -1.87498
38700   -1.87498
38750   -1.87507
38800   -1.87507
38850   -1.91149
38900   -1.91133
38950   -1.91117
39000   -1.91099
39050   -1.91019
39100   -1.90945
39150   -1.90930
39200   -1.90915
39250   -1.90910
39300   -1.90721
39350   -1.90573
39400   -1.90478
39450   -1.90443
39500   -1.90398
39550   -1.90345
39600   -1.90315
39650   -1.90156
39700   -1.88621
39750   -1.88472
39800   -1.88314
39850   -1.88058
39900   -1.87934
39950   -1.87636
40000   -1.87561
40050   -1.87461
40100   -1.87250
40150   -1.87073
40200   -1.86889
40250   -1.86802
40300   -1.86667
40350   -1.86503
40400   -1.86273
40450   -1.86133
40500   -1.85960
40550   -1.85357
40600   -1.85302
40650   -1.85006
40700   -1.84840
40750   -1.84639
40800   -1.84516
40850   -1.84465
40900   -1.84338
40950   -1.84064
41000   -1.83942
41050   -1.83850
41100   -1.83651
41150   -1.83452
41200   -1.83146
41250   -1.83007
41300   -1.82934
41350   -1.82863
41400   -1.82694
41450   -1.82593
41500   -1.82433
41550   -1.82314
41600   -1.82199
41650   -1.82058
41700   -1.81750
41750   -1.81519
41800   -1.81395
41850   -1.83051
41900   -1.82966
41950   -1.82875
42000   -1.82778
42050   -1.82623
42100   -1.82425
42150   -1.82307
42200   -1.82199
42250   -1.82067
42300   -1.83955
42350   -1.83889
42400   -1.83954
42450   -1.83889
42500   -1.83703
42550   -1.83541
42600   -1.83263
42650   -1.83075
42700   -1.84492
42750   -1.84364
42800   -1.84220
42850   -1.83986
42900   -1.83889
42950   -1.83674
43000   -1.83565
43050   -1.83362
43100   -1.83120
43150   -1.82982
43200   -1.82873
43250   -1.82736
43300   -1.82436
43350   -1.82366
43400   -1.82280
43450   -1.82199
43500   -1.82181
43550   -1.82067
43600   -1.81654
43650   -1.81638
43700   -1.81565
43750   -1.82280
43800   -1.79153
43850   -1.79144
43900   -1.79628
43950   -1.79584
44000   -1.79539
44050   -1.79520
44100   -1.79500
44150   -1.79500
44200   -1.79499
44250   -1.79495
44300   -1.79490
44350   -1.79446
44400   -1.79401
44450   -1.79367
44500   -1.79334
44550   -1.79309
44600   -1.79401
44650   -1.79437
44700   -1.79474
44750   -1.79482
44800   -1.79490
44850   -1.79495
44900   -1.79499
44950   -1.79495
45000   -1.79500
45050   -1.79520
45100   -1.79539
45150   -1.79662
45200   -1.79699
45250   -1.79830
45300   -1.79972
45350   -1.80014
45400   -1.80103
45450   -1.80014
45500   -1.80015
45550   -1.80059
45600   -1.80115
45650   -1.80169
45700   -1.80306
45750   -1.80396
45800   -1.80414
45850   -1.80479
45900   -1.80494
45950   -1.79044
46000   -1.79063
46050   -1.79064
46100   -1.79075
46150   -1.79084
46200   -1.79084
46250   -1.79084
46300   -1.79084
46350   -1.79084
46400   -1.77867
46450   -1.77872
46500   -1.79103
46550   -1.79153
46600   -1.79180
46650   -1.79280
46700   -1.79292
46750   -1.79313
46800   -1.79313
46850   -1.79334
46900   -1.79401
46950   -1.84561
47000   -1.84569
47050   -1.84561
47100   -1.84569
47150   -1.84561
47200   -1.84552
47250   -1.84545
47300   -1.84522
47350   -1.84497
47400   -1.84495
47450   -1.84488
47500   -1.84465
47550   -1.85918
47600   -1.85841
47650   -1.85783
47700   -1.85705
47750   -1.85690
47800   -1.85688
47850   -1.85687
47900   -1.85676
47950   -1.85666
48000   -1.85657
48050   -1.85648
48100   -1.85646
48150   -1.85645
48200   -1.85632
48250   -1.85506
48300   -1.85472
48350   -1.85438
48400   -1.85435
48450   -1.84587
48500   -1.84587
48550   -1.84587
48600   -1.84587
48650   -1.84587
48700   -1.84587
48750   -1.84587
48800   -1.84590
48850   -1.84590
48900   -1.84600
48950   -1.84623
49000   -1.84623
49050   -1.84623
49100   -1.84623
49150   -1.81929
49200   -1.84396
49250   -1.84353
49300   -1.84306
49350   -1.84181
49400   -1.84054
49450   -1.83964
49500   -1.83876
49550   -1.83645
49600   -1.85794
49650   -1.85690
49700   -1.85582
49750   -1.85335
49800   -1.85163
49850   -1.84928
49900   -1.89495
49950   -1.89369
50000   -1.89164
50050   -1.89036
50100   -1.88996
50150   -1.88779
50200   -1.88607
50250   -1.88574
50300   -1.88497
50350   -1.88420
50400   -1.88394
50450   -1.88348
50500   -1.88334
50550   -1.88311
50600   -1.88113
50650   -1.88113
50700   -1.88113
50750   -1.88008
50800   -1.88008
50850   -1.88008
50900   -1.88008
50950   -1.88008
51000   -1.87949
51050   -1.87948
51100   -1.87935
51150   -1.88334
51200   -1.88185
51250   -1.88027
51300   -1.87979
51350   -1.87948
51400   -1.87914
51450   -1.87781
51500   -1.87752
51550   -1.87687
51600   -1.87617
51650   -1.87571
51700   -1.87523
51750   -1.87498
51800   -1.87481
51850   -1.87439
51900   -1.87388
51950   -1.87350
52000   -1.87247
52050   -1.87215
52100   -1.87196
52150   -1.87191
52200   -1.87177
52250   -1.87161
52300   -1.87130
52350   -1.88853
52400   -1.92574
52450   -1.92495
52500   -1.92058
52550   -1.88004
52600   -1.92321
52650   -1.92175
52700   -1.92054
52750   -1.91922
52800   -1.91890
52850   -1.91791
52900   -1.91738
52950   -1.91693
53000   -1.91665
53050   -1.91649
53100   -1.91099
53150   -1.91028
53200   -1.91010
53250   -1.90905
53300   -1.89153
53350   -1.89060
53400   -1.89037
53450   -1.89026
53500   -1.88998
53550   -1.88886
53600   -1.88868
53650   -1.90004
53700   -1.89976
53750   -1.89864
53800   -1.89781
53850   -1.89651
53900   -1.89564
53950   -1.89525
54000   -1.89483
54050   -1.89255
54100   -1.89181
54150   -1.89146
54200   -1.89060
54250   -1.89000
54300   -1.88869
54350   -1.88775
54400   -1.88585
54450   -1.89634
54500   -1.89589
54550   -1.89555
54600   -1.89524
54650   -1.89427
54700   -1.89325
54750   -1.89169
54800   -1.89091
54850   -1.89043
54900   -1.88996
54950   -1.88868
55000   -1.88800
55050   -1.88718
55100   -1.88648
55150   -1.88621
55200   -1.88585
55250   -1.88572
55300   -1.88497
55350   -1.88409
55400   -1.88358
55450   -1.88293
55500   -1.88272
55550   -1.88143
55600   -1.88083
55650   -1.87958
55700   -1.87821
55750   -1.87751
55800   -1.87704
55850   -1.88111
55900   -1.87856
55950   -1.87154
56000   -1.87038
56050   -1.86930
56100   -1.86860
56150   -1.86810
56200   -1.85881
56250   -1.85788
56300   -1.85730
56350   -1.85631
56400   -1.85475
56450   -1.85354
56500   -1.85299
56550   -1.84825
56600   -1.84785
56650   -1.85040
56700   -1.84901
56750   -1.84843
56800   -1.84828
56850   -1.84817
56900   -1.84788
56950   -1.84755
57000   -1.84597
57050   -1.84531
57100   -1.84495
57150   -1.84426
57200   -1.84385
57250   -1.84320
57300   -1.84234
57350   -1.84142
57400   -1.84045
57450   -1.84012
57500   -1.83892
57550   -1.83854
57600   -1.83686
57650   -1.80883
57700   -1.80851
57750   -1.80805
57800   -1.80763
57850   -1.80733
57900   -1.80679
57950   -1.80621
58000   -1.80567
58050   -1.80539
58100   -1.80499
58150   -1.80431
58200   -1.80404
58250   -1.80387
58300   -1.79759
58350   -1.79758
58400   -1.79747
58450   -1.79723
58500   -1.79669
58550   -1.80825
58600   -1.80787
58650   -1.80775
58700   -1.80749
58750   -1.80731
58800   -1.80713
58850   -1.80670
58900   -1.80556
58950   -1.80501
59000   -1.83548
59050   -1.83499
59100   -1.83420
59150   -1.83366
59200   -1.83352
59250   -1.83263
59300   -1.83178
59350   -1.83116
59400   -1.82973
59450   -1.82938
59500   -1.82901
59550   -1.82861
59600   -1.82790
59650   -1.82741
59700   -1.82724
59750   -1.82598
59800   -1.82950
59850   -1.82906
59900   -1.82861
59950   -1.84519
60000   -1.84424
60050   -1.84338
60100   -1.85872
60150   -1.85402
60200   -1.85349
60250   -1.85265
60300   -1.86632
60350   -1.85181
60400   -1.85056
60450   -1.85025
60500   -1.84968
60550   -1.84866
60600   -1.84827
60650   -1.84824
60700   -1.84012
60750   -1.83983
60800   -1.83919
60850   -1.83878
60900   -1.83865
60950   -1.85222
61000   -1.85183
61050   -1.83702
61100   -1.83627
61150   -1.83602
61200   -1.83577
61250   -1.83568
61300   -1.83549
61350   -1.83516
61400   -1.83476
61450   -1.83457
61500   -1.83450
61550   -1.83457
61600   -1.83450
61650   -1.83443
61700   -1.83380
61750   -1.83367
61800   -1.82206
61850   -1.82206
61900   -1.82206
61950   -1.83067
62000   -1.82972
62050   -1.82910
62100   -1.82883
62150   -1.82859
62200   -1.82828
62250   -1.82797
62300   -1.84828
62350   -1.82769
62400   -1.82760
62450   -1.82756
62500   -1.82733
62550   -1.82729
62600   -1.82724
62650   -1.87173
62700   -1.87146
62750   -1.87110
62800   -1.86993
62850   -1.86944
62900   -1.86941
62950   -1.88646
63000   -1.88638
63050   -1.88622
63100   -1.88597
63150   -1.88585
63200   -1.88572
63250   -1.88531
63300   -1.88531
63350   -1.88494
63400   -1.88479
63450   -1.88454
63500   -1.88435
63550   -1.88415
63600   -1.88415
63650   -1.88403
63700   -1.88368
63750   -1.88293
63800   -1.88226
63850   -1.88174
63900   -1.88104
63950   -1.88104
64000   -1.88041
64050   -1.87936
64100   -1.87910
64150   -1.87910
64200   -1.87909
64250   -1.87903
64300   -1.87903
64350   -1.87903
64400   -1.87884
64450   -1.87884
64500   -1.87884
64550   -1.87903
64600   -1.87884
64650   -1.87842
64700   -1.89435
64750   -1.89386
64800   -1.89353
64850   -1.89292
64900   -1.89250
64950   -1.89246
65000   -1.89182
65050   -1.89151
65100   -1.87688
65150   -1.87575
65200   -1.87510
65250   -1.87510
65300   -1.87484
65350   -1.87451
65400   -1.87442
65450   -1.87341
65500   -1.87178
65550   -1.87097
65600   -1.87026
65650   -1.86980
65700   -1.86930
65750   -1.86420
65800   -1.86435
65850   -1.86430
65900   -1.86435
65950   -1.86441
66000   -1.86435
66050   -1.86420
66100   -1.86425
66150   -1.86420
66200   -1.86416
66250   -1.86399
66300   -1.88280
66350   -1.88240
66400   -1.88215
66450   -1.88173
66500   -1.88170
66550   -1.88957
66600   -1.88950
66650   -1.88917
66700   -1.88914
66750   -1.88911
66800   -1.88867
66850   -1.88867
66900   -1.88867
66950   -1.88867
67000   -1.88867
67050   -1.88831
67100   -1.88808
67150   -1.88808
67200   -1.88808
67250   -1.88808
67300   -1.88798
67350   -1.88798
67400   -1.88798
67450   -1.91795
67500   -1.91768
67550   -1.91753
67600   -1.91724
67650   -1.91623
67700   -1.90325
67750   -1.90320
67800   -1.90310
67850   -1.95034
67900   -1.95007
67950   -1.94919
68000   -1.94884
68050   -1.94852
68100   -1.94845
68150   -1.94834
68200   -1.95708
68250   -1.95706
68300   -1.95706
68350   -1.95644
68400   -1.95629
68450   -1.95622
68500   -1.95613
68550   -1.95606
68600   -1.95602
68650   -1.95526
68700   -1.95467
68750   -1.95428
68800   -1.90344
68850   -1.90362
68900   -1.90398
68950   -1.90403
69000   -1.90398
69050   -1.90389
69100   -1.90380
69150   -1.90357
69200   -1.90370
69250   -1.90375
69300   -1.90380
69350   -1.90331
69400   -1.90304
69450   -1.90284
69500   -1.89090
69550   -1.89053
69600   -1.88997
69650   -1.88976
69700   -1.88957
69750   -1.88950
69800   -1.88914
69850   -1.88911
69900   -1.88884
69950   -1.88867
70000   -1.88831
70050   -1.88805
70100   -1.88772
70150   -1.88736
70200   -1.88655
70250   -1.88596
70300   -1.88501
70350   -1.88459
70400   -1.88375
70450   -1.88361
70500   -1.88282
70550   -1.88235
70600   -1.88215
70650   -1.88104
70700   -1.88065
70750   -1.86139
70800   -1.86140
70850   -1.86121
70900   -1.86077
70950   -1.83946
71000   -1.83939
71050   -1.83908
71100   -1.83875
71150   -1.83869
71200   -1.84629
71250   -1.84620
71300   -1.84612
71350   -1.84600
71400   -1.84589
71450   -1.83783
71500   -1.83804
71550   -1.83804
71600   -1.83774
71650   -1.84540
71700   -1.84522
71750   -1.84540
71800   -1.84522
71850   -1.84520
71900   -1.84505
71950   -1.84497
72000   -1.84489
72050   -1.84454
72100   -1.84449
72150   -1.84447
72200   -1.84432
72250   -1.84400
72300   -1.84432
72350   -1.84434
72400   -1.84432
72450   -1.84368
72500   -1.84367
72550   -1.84366
72600   -1.84364
72650   -1.84400
72700   -1.84437
72750   -1.85276
72800   -1.85221
72850   -1.85221
72900   -1.85221
72950   -1.85276
73000   -1.85276
73050   -1.85276
73100   -1.85296
73150   -1.85307
73200   -1.85316
73250   -1.85316
73300   -1.85316
73350   -1.85316
73400   -1.84444
73450   -1.84434
73500   -1.84432
73550   -1.84368
73600   -1.84364
73650   -1.84357
73700   -1.84595
73750   -1.84568
73800   -1.84540
73850   -1.84520
73900   -1.84511
73950   -1.84497
74000   -1.84447
74050   -1.84434
74100   -1.84430
74150   -1.84366
74200   -1.84348
74250   -1.84325
74300   -1.84273
74350   -1.84228
74400   -1.84212
74450   -1.84162
74500   -1.84089
74550   -1.84045
74600   -1.84024
74650   -1.84851
74700   -1.84790
74750   -1.84763
74800   -1.84729
74850   -1.84651
74900   -1.84607
74950   -1.84589
75000   -1.84522
75050   -1.84474
75100   -1.84432
75150   -1.84368
75200   -1.84348
75250   -1.84335
75300   -1.84321
75350   -1.84298
75400   -1.84266
75450   -1.84228
75500   -1.84220
75550   -1.84212
75600   -1.84181
75650   -1.84116
75700   -1.84109
75750   -1.84071
75800   -1.83068
75850   -1.83068
75900   -1.83059
75950   -1.83027
76000   -1.83012
76050   -1.83007
76100   -1.83005
76150   -1.82992
76200   -1.82978
76250   -1.82955
76300   -1.82911
76350   -1.82883
76400   -1.82873
76450   -1.82842
76500   -1.82807
76550   -1.83182
